{'loss': 0.4260749816894531, 'total-trian_loss': 0.4260749816894531, 'total-train-accuracy': 0.8415178656578064, 'bla-recall': 0.7813884615898132, 'lyt-recall': 0.900734007358551, 'ngb-recall': 0.4249548017978668, 'ngs-recall': 0.9028517603874207, 'bla-precision': 0.8780083060264587, 'lyt-precision': 0.8957247138023376, 'ngb-precision': 0.7046476602554321, 'ngs-precision': 0.8493514060974121} 
{'loss': 0.42435333132743835, 'total-trian_loss': 0.42435333132743835, 'total-train-accuracy': 0.8425968885421753, 'bla-recall': 0.7827034592628479, 'lyt-recall': 0.9020883440971375, 'ngb-recall': 0.4223214387893677, 'ngs-recall': 0.9035330414772034, 'bla-precision': 0.8784665465354919, 'lyt-precision': 0.896258533000946, 'ngb-precision': 0.7038690447807312, 'ngs-precision': 0.8502457141876221} 
{'loss': 0.42583149671554565, 'total-trian_loss': 0.42583149671554565, 'total-train-accuracy': 0.84205162525177, 'bla-recall': 0.7822983860969543, 'lyt-recall': 0.9015457034111023, 'ngb-recall': 0.4166666567325592, 'ngs-recall': 0.9046757221221924, 'bla-precision': 0.8775020241737366, 'lyt-precision': 0.8964250087738037, 'ngb-precision': 0.7047477960586548, 'ngs-precision': 0.848613440990448} 
{'loss': 0.42783766984939575, 'total-trian_loss': 0.42783766984939575, 'total-train-accuracy': 0.8407473564147949, 'bla-recall': 0.7835195660591125, 'lyt-recall': 0.8999337553977966, 'ngb-recall': 0.4112069010734558, 'ngs-recall': 0.9047900438308716, 'bla-precision': 0.8738317489624023, 'lyt-precision': 0.8960738778114319, 'ngb-precision': 0.7056213021278381, 'ngs-precision': 0.8469415903091431} 
{'loss': 0.4293859302997589, 'total-trian_loss': 0.4293859302997589, 'total-train-accuracy': 0.8403627872467041, 'bla-recall': 0.7856650352478027, 'lyt-recall': 0.900130569934845, 'ngb-recall': 0.40690818428993225, 'ngs-recall': 0.9052174091339111, 'bla-precision': 0.8735632300376892, 'lyt-precision': 0.8972023129463196, 'ngb-precision': 0.7071742415428162, 'ngs-precision': 0.8451961874961853} 
{'loss': 0.4293585419654846, 'total-trian_loss': 0.4293585419654846, 'total-train-accuracy': 0.8398840427398682, 'bla-recall': 0.7840216755867004, 'lyt-recall': 0.9007707238197327, 'ngb-recall': 0.40362438559532166, 'ngs-recall': 0.905617356300354, 'bla-precision': 0.8739622831344604, 'lyt-precision': 0.8964525461196899, 'ngb-precision': 0.7091172337532043, 'ngs-precision': 0.8451303839683533} 
{'loss': 0.42783886194229126, 'total-trian_loss': 0.42783886194229126, 'total-train-accuracy': 0.8404771685600281, 'bla-recall': 0.7838559150695801, 'lyt-recall': 0.9026464819908142, 'ngb-recall': 0.4047039747238159, 'ngs-recall': 0.9049354791641235, 'bla-precision': 0.8755588531494141, 'lyt-precision': 0.8967136144638062, 'ngb-precision': 0.7078014016151428, 'ngs-precision': 0.8452069163322449} 
{'loss': 0.42707815766334534, 'total-trian_loss': 0.42707815766334534, 'total-train-accuracy': 0.8411544561386108, 'bla-recall': 0.7804718017578125, 'lyt-recall': 0.9036555290222168, 'ngb-recall': 0.40464743971824646, 'ngs-recall': 0.9055096507072449, 'bla-precision': 0.876379668712616, 'lyt-precision': 0.8958845138549805, 'ngb-precision': 0.709269642829895, 'ngs-precision': 0.8458569049835205} 
{'loss': 0.4269542396068573, 'total-trian_loss': 0.4269542396068573, 'total-train-accuracy': 0.8411968946456909, 'bla-recall': 0.780927836894989, 'lyt-recall': 0.9026845693588257, 'ngb-recall': 0.4051927626132965, 'ngs-recall': 0.9062584638595581, 'bla-precision': 0.8750902414321899, 'lyt-precision': 0.8961235880851746, 'ngb-precision': 0.7132964134216309, 'ngs-precision': 0.845551073551178} 
{'loss': 0.4243263304233551, 'total-trian_loss': 0.4243263304233551, 'total-train-accuracy': 0.8426446914672852, 'bla-recall': 0.7822222113609314, 'lyt-recall': 0.9040767550468445, 'ngb-recall': 0.4053000807762146, 'ngs-recall': 0.9073975682258606, 'bla-precision': 0.8768683075904846, 'lyt-precision': 0.8973519802093506, 'ngb-precision': 0.7152682542800903, 'ngs-precision': 0.8469945192337036} 
{'loss': 0.4273071885108948, 'total-trian_loss': 0.4273071885108948, 'total-train-accuracy': 0.8423655033111572, 'bla-recall': 0.7822832465171814, 'lyt-recall': 0.9027409553527832, 'ngb-recall': 0.4052388370037079, 'ngs-recall': 0.9078051447868347, 'bla-precision': 0.874476969242096, 'lyt-precision': 0.8971880674362183, 'ngb-precision': 0.7146739363670349, 'ngs-precision': 0.8470185995101929} 
{'loss': 0.4271984100341797, 'total-trian_loss': 0.4271984100341797, 'total-train-accuracy': 0.8423870801925659, 'bla-recall': 0.779474675655365, 'lyt-recall': 0.9027293920516968, 'ngb-recall': 0.4056316614151001, 'ngs-recall': 0.9081764221191406, 'bla-precision': 0.8751714825630188, 'lyt-precision': 0.8964821100234985, 'ngb-precision': 0.7135207653045654, 'ngs-precision': 0.8474127650260925} 
{'loss': 0.4271402060985565, 'total-trian_loss': 0.4271402060985565, 'total-train-accuracy': 0.8422162532806396, 'bla-recall': 0.7788461446762085, 'lyt-recall': 0.9016581177711487, 'ngb-recall': 0.4060150384902954, 'ngs-recall': 0.9086294174194336, 'bla-precision': 0.8733153343200684, 'lyt-precision': 0.8962773680686951, 'ngb-precision': 0.7114624381065369, 'ngs-precision': 0.8479393720626831} 
{'loss': 0.426512211561203, 'total-trian_loss': 0.426512211561203, 'total-train-accuracy': 0.8426170945167542, 'bla-recall': 0.7797408699989319, 'lyt-recall': 0.9011824131011963, 'ngb-recall': 0.40666666626930237, 'ngs-recall': 0.9090681076049805, 'bla-precision': 0.8733509182929993, 'lyt-precision': 0.8963875770568848, 'ngb-precision': 0.713914155960083, 'ngs-precision': 0.8476991653442383} 
